USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
OH	39151711402	10726174	134834	       4.141	       0.052	 40.8386356	 -81.4774988                                                                                                                       
OH	39151711411	8539584	157051	       3.297	       0.061	 40.8478390	 -81.5162556                                                                                                                        
OH	39151711412	9376747	198193	       3.620	       0.077	 40.8281257	 -81.5253123                                                                                                                        
OH	39151711501	6400691	51007	       2.471	       0.020	 40.8254163	 -81.4472638                                                                                                                         
OH	39151711502	4453339	0	       1.719	       0.000	 40.8316287	 -81.4123034                                                                                                                             
OH	39151711600	5328268	544504	       2.057	       0.210	 40.8136588	 -81.4149297                                                                                                                        
OH	39151711700	3783241	0	       1.461	       0.000	 40.8420390	 -81.3876149                                                                                                                             
OH	39151711800	7014234	0	       2.708	       0.000	 40.8567062	 -81.4093122                                                                                                                             
OH	39151711900	6140373	0	       2.371	       0.000	 40.8783040	 -81.4174742                                                                                                                             
OH	39151712000	3965723	0	       1.531	       0.000	 40.8799659	 -81.3930786                                                                                                                             
OH	39151712102	16354708	25039	       6.315	       0.010	 40.8925812	 -81.3320626                                                                                                                        
OH	39151712111	7359298	0	       2.841	       0.000	 40.8979686	 -81.4061057                                                                                                                             
OH	39151712112	5248309	0	       2.026	       0.000	 40.8899917	 -81.3726575                                                                                                                             
OH	39151712201	7012225	0	       2.707	       0.000	 40.8595013	 -81.3777826                                                                                                                             
OH	39151712202	8088817	52202	       3.123	       0.020	 40.8556649	 -81.3523208                                                                                                                         
OH	39151712300	11065572	215364	       4.272	       0.083	 40.8526809	 -81.3336356                                                                                                                       
OH	39151712400	16791788	12308	       6.483	       0.005	 40.8416181	 -81.3031787                                                                                                                        
OH	39151712500	7731936	0	       2.985	       0.000	 40.8204560	 -81.2896365                                                                                                                             
OH	39151712601	5416826	0	       2.091	       0.000	 40.8359581	 -81.2721328                                                                                                                             
OH	39151712602	7009570	0	       2.706	       0.000	 40.8291794	 -81.2479510                                                                                                                             
OH	39151712700	66174122	180673	      25.550	       0.070	 40.8632852	 -81.2349289                                                                                                                       
OH	39151712800	78540934	122432	      30.325	       0.047	 40.8541082	 -81.1408624                                                                                                                       
OH	39151712900	38491077	114445	      14.861	       0.044	 40.7690831	 -81.1025367                                                                                                                       
OH	39151713000	121095453	127345	      46.755	       0.049	 40.7623341	 -81.2120701                                                                                                                      
OH	39151713100	35371405	0	      13.657	       0.000	 40.7891301	 -81.2971139                                                                                                                            
OH	39151713201	37092036	0	      14.321	       0.000	 40.7484794	 -81.3612010                                                                                                                            
OH	39151713202	13721318	21673	       5.298	       0.008	 40.7436514	 -81.4350881                                                                                                                        
OH	39151713300	14713488	0	       5.681	       0.000	 40.7684401	 -81.4435016                                                                                                                            
OH	39151713401	4780926	0	       1.846	       0.000	 40.7951281	 -81.4353973                                                                                                                             
OH	39151713402	5372765	401437	       2.074	       0.155	 40.8042813	 -81.4602309                                                                                                                        
OH	39151713501	5428497	0	       2.096	       0.000	 40.8181756	 -81.4863279                                                                                                                             
OH	39151713502	5579865	0	       2.154	       0.000	 40.7975296	 -81.4771684                                                                                                                             
OH	39151713600	1517736	6175	       0.586	       0.002	 40.8122508	 -81.5120322                                                                                                                          
OH	39151713700	1227853	32196	       0.474	       0.012	 40.8058007	 -81.5211739                                                                                                                         
